Date;#
07/10/2016;77
08/10/2016;197
09/10/2016;77
10/10/2016;226
11/10/2016;133
12/10/2016;57
13/10/2016;160
14/10/2016;148
15/10/2016;137
16/10/2016;138
17/10/2016;202
18/10/2016;156
19/10/2016;156
20/10/2016;120
21/10/2016;98
22/10/2016;115
23/10/2016;112
24/10/2016;148
25/10/2016;167
26/10/2016;145
27/10/2016;115
28/10/2016;107
29/10/2016;37
30/10/2016;80
31/10/2016;204
01/11/2016;207
02/11/2016;166
03/11/2016;112
04/11/2016;294
05/11/2016;185
06/11/2016;144
07/11/2016;236
08/11/2016;118
09/11/2016;143
10/11/2016;164
11/11/2016;128
12/11/2016;20
13/11/2016;0
14/11/2016;213
15/11/2016;155
16/11/2016;183
17/11/2016;194
18/11/2016;138
19/11/2016;0
20/11/2016;0
21/11/2016;267
22/11/2016;355
23/11/2016;219
24/11/2016;176
25/11/2016;140
26/11/2016;67
27/11/2016;53
28/11/2016;221
29/11/2016;136
30/11/2016;168
01/12/2016;143
02/12/2016;120
03/12/2016;42
04/12/2016;184
05/12/2016;137
06/12/2016;68
07/12/2016;173
08/12/2016;145
09/12/2016;284
10/12/2016;160
11/12/2016;64
12/12/2016;256
13/12/2016;143
14/12/2016;136
15/12/2016;133
16/12/2016;102
17/12/2016;0
18/12/2016;30
19/12/2016;292
20/12/2016;168
21/12/2016;140
22/12/2016;148
23/12/2016;123
24/12/2016;56
25/12/2016;24
26/12/2016;39
27/12/2016;153
28/12/2016;112
29/12/2016;99
30/12/2016;116
;
;
;
;
;
;
;
;
;
